molid,deltaz,inert,active,delBE_dft,delBE_alc
0.4_Ir-0.2_Au,1,0:4,0:2,-0.78148861,-0.6393
2.4_Re-0.4_Tl,3,2:4,0:4,-3.11377921,-1.713
2.4_Hg-0.4_Os,2,2:4,0:4,0.13918869,1.142
0.2.4_Tl-0.2.4_Re,3,0:2:4,0:2:4,-0.06055178,1.905
2_Tl-0_Re,3,2,0,-0.04543125,1.8009
0.2_Re-0.4_Tl,3,0:2,0:4,-3.16510166,-1.7469
0_Re-2_Tl,3,0,2,-0.27776058,-0.192
0.2_Os-0.4_Hg,2,0:2,0:4,-1.798603,-1.1646
2_Ir-0_Au,1,2,0,-0.75212154,-0.6003
4_Os-4_Hg,2,4,4,-0.01798768,0.0586
2_Re-0_Tl,3,2,0,-2.93428559,-1.8009
0.4_Os-2.4_Hg,2,0:4,2:4,-0.18896084,-0.0694
0.2_Au-0.4_Ir,1,0:2,0:4,0.22993689,0.5823
0.2_Hg-2.4_Os,2,0:2,2:4,-0.03873272,0.1194
2.4_Ir-2.4_Au,1,2:4,2:4,-0.02550468,-0.0484
2.4_Os-2.4_Hg,2,2:4,2:4,-0.14717461,-0.0968
0_Re-0_Tl,3,0,0,-2.96983031,-1.7598
4_Os-0_Hg,2,4,0,-1.72857036,-1.1506
0.4_Au-2.4_Ir,1,0:4,2:4,-0.02900929,0.0347
2.4_Ir-0.4_Au,1,2:4,0:4,-0.72937341,-0.571
2.4_Tl-2.4_Re,3,2:4,2:4,-0.12195529,0.1452
0.2_Hg-0.4_Os,2,0:2,0:4,0.14779154,1.1646
2_Os-4_Hg,2,2,4,-0.03629526,0.00860000000003
2_Hg-2_Os,2,2,2,0.04823169,0.1554
0.2_Au-2.4_Ir,1,0:2,2:4,-0.000520470000026,0.0597
2.4_Tl-0.4_Re,3,2:4,0:4,-0.16498162,1.713
2_Ir-4_Au,1,2,4,0.00439646999999,0.00430000000001
0.4_Au-0.4_Ir,1,0:4,0:4,0.20154403,0.5573
0_Au-0_Ir,1,0,0,0.24351302,0.5866
0.2_Hg-0.2_Os,2,0:2,0:2,0.32631645,1.3286
0.4_Re-0.2_Tl,3,0:4,0:2,-3.28120896,-1.9179
0_Tl-2_Re,3,0,2,-0.06748969,0.192
2.4_Hg-0.2_Os,2,2:4,0:2,0.29646168,1.306
0.4_Ir-2.4_Au,1,0:4,2:4,-0.01601542,-0.0347
0.4_Tl-0.4_Re,3,0:4,0:4,-0.17200233,1.6719
4_Hg-2_Os,2,4,2,-0.02514649,0.1054
0.2.4_Re-0.2.4_Tl,3,0:2:4,0:2:4,-3.40644773,-1.905
2.4_Au-0.4_Ir,1,2:4,0:4,0.2183429,0.571
0_Os-0_Hg,2,0,0,-1.73822484,-1.1732
2.4_Ir-0.2_Au,1,2:4,0:2,-0.78593138,-0.653
0.2.4_Ir-0.2.4_Au,1,0:2:4,0:2:4,-0.7542184,-0.635
2.4_Os-0.2_Hg,2,2:4,0:2,-1.93980898,-1.306
0.4_Ir-0.4_Au,1,0:4,0:4,-0.71701263,-0.5573
0.2_Au-0.2_Ir,1,0:2,0:2,0.31887641,0.6643
2_Tl-2_Re,3,2,2,0.01222672,0.2331
2_Os-0_Hg,2,2,0,-1.74145007,-1.2006
0.2.4_Hg-0.2.4_Os,2,0:2:4,0:2:4,0.23804915,1.27
0.2_Ir-2.4_Au,1,0:2,2:4,-0.03161666,-0.0597
2_Tl-4_Re,3,2,4,-0.10942584,-0.0129
0_Au-4_Ir,1,0,4,-0.05482834,-0.018
0.2_Os-0.2_Hg,2,0:2,0:2,-1.95556206,-1.3286
2_Re-4_Tl,3,2,4,-0.11737534,0.0129
4_Au-0_Ir,1,4,0,0.23175072,0.5753
2.4_Os-0.4_Hg,2,2:4,0:4,-1.78271031,-1.142
4_Re-2_Tl,3,4,2,-0.24141819,-0.1581
2_Au-4_Ir,1,2,4,-0.032624,-0.00430000000001
2.4_Au-0.2_Ir,1,2:4,0:2,0.30185887,0.653
4_Hg-0_Os,2,4,0,0.15649642,1.1506
0.2_Re-2.4_Tl,3,0:2,2:4,-0.39743423,-0.1791
4_Au-2_Ir,1,4,2,0.00400833,0.0527
0.2.4_Au-0.2.4_Ir,1,0:2:4,0:2:4,0.28893927,0.635
0.4_Hg-0.4_Os,2,0:4,0:4,0.12370877,1.1146
0.2_Os-2.4_Hg,2,0:2,2:4,-0.18058123,-0.1194
2_Au-2_Ir,1,2,2,0.03831404,0.0777
2_Au-0_Ir,1,2,0,0.26775613,0.6003
2_Hg-4_Os,2,2,4,-0.07831802,-0.00860000000003
4_Hg-4_Os,2,4,4,-0.12209896,-0.0586
2.4_Re-2.4_Tl,3,2:4,2:4,-0.35150732,-0.1452
0_Ir-0_Au,1,0,0,-0.739224,-0.5866
0_Hg-2_Os,2,0,2,-0.00104744000001,0.128
0.4_Hg-0.2_Os,2,0:4,0:2,0.26852469,1.2786
4_Ir-4_Au,1,4,4,0.02389236,0.0293
0_Ir-4_Au,1,0,4,0.01880025,0.018
0_Hg-4_Os,2,0,4,-0.13453554,-0.036
0_Os-4_Hg,2,0,4,-0.03862057,0.036
0.4_Au-0.2_Ir,1,0:4,0:2,0.28512817,0.6393
0.2_Ir-0.2_Au,1,0:2,0:2,-0.78836327,-0.6643
0.2_Re-0.2_Tl,3,0:2,0:2,-3.24359203,-1.9929
4_Au-4_Ir,1,4,4,-0.06109824,-0.0293
0.2_Ir-0.4_Au,1,0:2,0:4,-0.73105091,-0.5823
4_Ir-2_Au,1,4,2,-0.05353152,-0.0527
0_Hg-0_Os,2,0,0,0.18518844,1.1732
2.4_Hg-2.4_Os,2,2:4,2:4,-0.03813878,0.0968
0.4_Tl-0.2_Re,3,0:4,0:2,-0.02423832,1.9179
4_Os-2_Hg,2,4,2,-0.1451789,-0.1054
0.2_Tl-0.4_Re,3,0:2,0:4,-0.16109162,1.7469
2_Re-2_Tl,3,2,2,-0.19425813,-0.2331
0_Os-2_Hg,2,0,2,-0.16333754,-0.128
0.4_Os-0.4_Hg,2,0:4,0:4,-1.78531259,-1.1146
0.2_Tl-0.2_Re,3,0:2,0:2,0.03749792,1.9929
2_Os-2_Hg,2,2,2,-0.14477549,-0.1554
2.4_Re-0.2_Tl,3,2:4,0:2,-3.19920642,-1.959
0.4_Re-0.4_Tl,3,0:4,0:4,-3.14370638,-1.6719
0.2_Tl-2.4_Re,3,0:2,2:4,-0.13546088,0.1791
4_Ir-0_Au,1,4,0,-0.73706436,-0.5753
0.4_Os-0.2_Hg,2,0:4,0:2,-1.96690595,-1.2786
0.4_Hg-2.4_Os,2,0:4,2:4,-0.08503983,0.0694
2_Hg-0_Os,2,2,0,0.22658765,1.2006
2.4_Au-2.4_Ir,1,2:4,2:4,-0.00976907,0.0484
0_Au-2_Ir,1,0,2,0.01717369,0.064
2_Ir-2_Au,1,2,2,-0.06872919,-0.0777
0.2.4_Os-0.2.4_Hg,2,0:2:4,0:2:4,-1.97601915,-1.27
0.4_Tl-2.4_Re,3,0:4,2:4,-0.19496712,0.1041
